,Scenario Number (within session) ,"Scenario Type                   (REMEMBER: 7 positive, 2 resilience, 1 negative) ",Broad Domain 1,Broad Domain 2,Broad Domain 3,MTM Title ,HD scenario body,HD scenario body #2 (negation scenarios only),HD comprehension question,HD correct response,HD incorrect response,HD photo link,HD photo name,PD scenario body,PD scenario body #2 (negation scenarios only),PD comprehension question,PD correct response,PD incorrect response,PD photo link,PD photo name,Letters Missing
,8,Positive,Work/Career Development,,,Important visitors,"Some important people are visiting your office, and you are asked to present a project to them. On the day of the presentation, you arrange your slides and mentally prepare yourself. You think the visitors will evaluate your performance as organized.",N/A,Will the visitors be unimpressed with your performance?,No,Yes,https://drive.google.com/file/d/1cJz2W2jQrnpZ4LfT39NhgX0UGBztrPPa/view?usp=sharing,37.jpg,"Some important people are visiting your office, and you are asked to present a project to them. On the day of the presentation, you arrange your slides and mentally prepare yourself. You think the visitors will evaluate your performance as organized.",N/A,Will the visitors be unimpressed with your performance?,No,Yes,https://drive.google.com/file/d/1cJz2W2jQrnpZ4LfT39NhgX0UGBztrPPa/view?usp=sharing,37.jpg,2
,9,Negative,Work/Career Development,Social Situations,,Dealing with Group Work,You are assigned a project to complete for work. You've been grouped with coworkers who usually don't contribute much to work projects. You start to think about how the project will go and feel uneasy.,,Are you worried about completing the presentation?,Yes,No,https://drive.google.com/file/d/1MSvkZ7ilWBOwRh_oL2pAafze77-a_M3n/view?usp=sharing,38.jpg,You are assigned a project to complete for work. You've been grouped with coworkers who usually don't contribute much to work projects. You start to think about how the project will go and feel uneasy.,,Are you worried about completing the presentation?,Yes,No,https://drive.google.com/file/d/1MSvkZ7ilWBOwRh_oL2pAafze77-a_M3n/view?usp=sharing,38.jpg,2
,10,Positive,Work/Career Development,Mental Health,,Evaluation results,"The window for staff evaluations just closed, and you are not sure whether you did well or not. You feel nervous as you think about how other people graded you. You think being nervous is manageable.",N/A,Can you tolerate your nervousness as you wait to find out your evaluation?,Yes,No,https://drive.google.com/file/d/1wsTsWXkjfok0Sn3yNthn2D51nUUgPfAo/view?usp=sharing,39.jpg,"The window for staff evaluations just closed, and you are not sure whether you did well or not. You feel nervous as you think about how other people graded you. You think being nervous is manageable.",N/A,Can you tolerate your nervousness as you wait to find out your evaluation?,Yes,No,https://drive.google.com/file/d/1wsTsWXkjfok0Sn3yNthn2D51nUUgPfAo/view?usp=sharing,39.jpg,2
5,1,Positive,Work/Career Development,,,Preparing for evaluation,You are preparing to meet with your boss for a performance review. You heard from other people that your boss is in an incredibly bad mood today. You worked hard this semester and think it is likely you will get a good review.,N/A,Will you probably get a good review?,Yes,No,https://drive.google.com/file/d/1JqWIAI0rY_t0uGgYnmPOToM6KeNWRxvn/view?usp=sharing,40.jpg,You are preparing to meet with your boss for a performance review. You heard from other people that your boss is in an incredibly bad mood today. You worked hard this semester and think it is likely you will get a good review.,N/A,Will you probably get a good review?,Yes,No,https://drive.google.com/file/d/1JqWIAI0rY_t0uGgYnmPOToM6KeNWRxvn/view?usp=sharing,40.jpg,2
,2,Positive,Work/Career Development,Mental Health,,One-on-one thoughts,"You have a one-on-one meeting today with your intimidating boss, which you are nervous about. During the meeting, you momentarily lose your train of thought. After that, your anxiety is tolerable.",N/A,Are you able to tolerate your anxiety while meeting with your boss?,Yes,No,https://drive.google.com/file/d/1XdpsyI2ipYQdebyRJI6icWGBOLJlNXCD/view?usp=sharing,41.jpg,"You have a one-on-one meeting today with your intimidating boss, which you are nervous about. During the meeting, you momentarily lose your train of thought. After that, your anxiety is tolerable.",N/A,Are you able to tolerate your anxiety while meeting with your boss?,Yes,No,https://drive.google.com/file/d/1XdpsyI2ipYQdebyRJI6icWGBOLJlNXCD/view?usp=sharing,41.jpg,2
,3,Resilience/Negation,Work/Career Development,Social Situations,,Mind Going Blank,Your boss calls on you to answer a question about the plans you just discussed. You don't know what to say. Your mind goes blank.,"You give yourself a moment to collect your thoughts and then answer the question. When you think about the answer you gave, you feel good.",Are you able to answer the question?,Yes,No,https://drive.google.com/file/d/1peJsSeWbW75_7SXUaFUQcsUBkEkp3q7I/view?usp=sharing,42.jpg,Your boss calls on you to answer a question about the plans you just discussed. You don't know what to say. Your mind goes blank.,"You give yourself a moment to collect your thoughts and then answer the question. When you think about the answer you gave, you feel good.",Are you able to answer the question?,Yes,No,https://drive.google.com/file/d/1peJsSeWbW75_7SXUaFUQcsUBkEkp3q7I/view?usp=sharing,42.jpg,2
,4,Positive,Work/Career Development,,,Putting Preparation to the Test,"You have an important presentation today. You've been working hard on it because it is a requirement for your job. When you begin the presentation, you feel prepared.",N/A ,Do you feel ready for your presentation today? ,Yes,No,https://drive.google.com/file/d/1MSvkZ7ilWBOwRh_oL2pAafze77-a_M3n/view?usp=sharing,38.jpg,"You have an important presentation today. You've been working hard on it because it is a requirement for your job. When you begin the presentation, you feel prepared.",N/A ,Do you feel ready for your presentation today? ,Yes,No,https://drive.google.com/file/d/1MSvkZ7ilWBOwRh_oL2pAafze77-a_M3n/view?usp=sharing,38.jpg,2
,5,Negative,Work/Career Development,Mental Health,,Important Email,"Today, you are receiving an email about whether or not you received a promotion. You have a few hours to wait until you'll get the email. When you think about waiting that long, you feel miserable.",N/A,Do you feel OK having to wait for the email?,No,Yes,https://drive.google.com/file/d/1N6vR25DLC0FZk7m0Kj9cqT3vnyjdyQOA/view?usp=sharing,43.jpg,"Today, you are receiving an email about whether or not you received a promotion. You have a few hours to wait until you'll get the email. When you think about waiting that long, you feel miserable.",N/A,Do you feel OK having to wait for the email?,No,Yes,https://drive.google.com/file/d/1N6vR25DLC0FZk7m0Kj9cqT3vnyjdyQOA/view?usp=sharing,43.jpg,2
,6,Positive,Work/Career Development,,,Waiting for Big News,"Today, you will receive an important email. It will tell you whether you received or didn't get a promotion that would really advance your career.  As you think about waiting for the email, you feel dread.",N/A,Are you miserable waiting for the important email?,Yes,No,https://drive.google.com/file/d/1N6vR25DLC0FZk7m0Kj9cqT3vnyjdyQOA/view?usp=sharing,43.jpg,"Today, you will receive an important email. It will tell you whether you received or didn't get a promotion that would really advance your career.  As you think about waiting for the email, you feel dread.",N/A,Are you miserable waiting for the important email?,Yes,No,https://drive.google.com/file/d/1N6vR25DLC0FZk7m0Kj9cqT3vnyjdyQOA/view?usp=sharing,43.jpg,2
,7,Positive,Work/Career Development,Social Situations,,Letting Others See Your Work,"A friend suggests that you join a creative writing organization. He tells you that members of the organization will read and critique your writing. As you listen to your friend, the thought of other people looking at your writing makes you feel enthusiastic.",,Do you expect to feel uncomfortable if others look at your work?,No,Yes,https://drive.google.com/file/d/1_v0XVyjgJOJpCTokQcFjgQ8I8d4-jNxu/view?usp=sharing,44.jpg,"A friend suggests that you join a creative writing organization. He tells you that members of the organization will read and critique your writing. As you listen to your friend, the thought of other people looking at your writing makes you feel enthusiastic.",,Do you expect to feel uncomfortable if others look at your work?,No,Yes,https://drive.google.com/file/d/1_v0XVyjgJOJpCTokQcFjgQ8I8d4-jNxu/view?usp=sharing,44.jpg,2
,8,Positive,Work/Career Development,,,Strong opinions,The morning of your first evaluation with your new boss has arrived. They tell you that they have strong views about your work. You think that they likely find your work excellent.,N/A,Do you think your new boss has an unfavorable opinion of your work?,No,Yes,https://drive.google.com/file/d/1DDUHB-Z2PNw0gY0ymtiflHQj1EUSuaTn/view?usp=sharing,45.jpg,The morning of your first evaluation with your new boss has arrived. They tell you that they have strong views about your work. You think that they likely find your work excellent.,N/A,Do you think your new boss has an unfavorable opinion of your work?,No,Yes,https://drive.google.com/file/d/1DDUHB-Z2PNw0gY0ymtiflHQj1EUSuaTn/view?usp=sharing,45.jpg,2
,9,Resilience/Negation,Social Situations,Work/Career Development,,Important Presentation ,"You have been asked to give a presentation about some of your latest projects at a major conference. This is a great opportunity to highlight the good work you have been doing. However, you feel nervous talking in front of such a big group of your peers.","As you think about how people at the conference will react to your presentation, you don't think they will look down on your presentation. Instead, you believe they will think you look competent. ",Do you think your peers will think you looked nervous?,No,Yes,https://drive.google.com/file/d/1mDkkEgN6DM4uUXlBqKzoV3AT0Fc6OUwv/view?usp=sharing,126.jpg,"You have been asked to give a presentation about some of your latest projects at a major conference. This is a great opportunity to highlight the good work you have been doing. However, you feel nervous talking in front of such a big group of your peers.","As you think about how people at the conference will react to your presentation, you don't think they will look down on your presentation. Instead, you believe they will think you look competent. ",Do you think your peers will think you looked nervous?,No,Yes,https://drive.google.com/file/d/1mDkkEgN6DM4uUXlBqKzoV3AT0Fc6OUwv/view?usp=sharing,126.jpg,2
